Link_id,Direction,AVG_Speed,Data_Availability_Percentage,Category
4688548,1,17,83,Low [0-30]
4688549,1,24,92,Low [0-30]
4688550,1,21,89,Low [0-30]
4825719,1,33,75,Medium (30 - 50]
4825719,2,31,76,Medium (30 - 50]
4959032,1,47,23,Medium (30 - 50]
4959083,1,29,45,Low [0-30]
4959083,2,31,31,Medium (30 - 50]
5363322,1,60,36,High (51 - 80]
5363340,1,99,77,Highest (80 +
9774971,1,87,12,Highest (80 +
13769164,1,23,92,Low [0-30]
13769290,1,16,20,Low [0-30]
13769313,1,19,1,Low [0-30]
13769313,2,23,10,Low [0-30]
13769391,1,21,75,Low [0-30]
13866832,1,26,47,Low [0-30]
13866835,1,26,16,Low [0-30]
13868768,1,30,87,Low [0-30]
